63EBF6,F1B653,56
63EBF6,0C1853,43
4263A6,863057,72
4263A6,88F0BB,34
E8F1F9,611069,74
80B752,3596D4,97
80B752,369EFC,30
792B0B,3979BC,73
B0D319,B7DE0C,62
3CD369,92C091,100
221946,CAC4D8,81
221946,DBAFCF,49
221946,A69674,41
4DD8D4,CD346F,76
4DD8D4,CC8D54,8
4DD8D4,5CA9C9,0
4DD8D4,7CEE8A,43
4DD8D4,95841C,39
4DD8D4,F8CBCC,11
0219FB,34D2CC,89
0219FB,CC8E8E,33
4193E5,9C000F,83
4193E5,F26D61,27
4193E5,3E747F,38
6A9DA5,963BFE,81
6A9DA5,1B4910,7
65F7CF,347F8D,64
65F7CF,10B377,18
65F7CF,94FF58,10
65F7CF,9CD392,47
D00A07,5DEE68,98
6D7116,AE8E1D,68
6D7116,9C2D4B,7
9C26D0,487C8E,74
9C26D0,63EBF6,25
F1B653,0C1853,88
F1B653,4263A6,48
863057,88F0BB,91
E8F1F9,611069,61
80B752,3596D4,73
369EFC,792B0B,98
369EFC,3979BC,47
369EFC,B0D319,57
369EFC,B7DE0C,41
369EFC,3CD369,18
369EFC,92C091,7
369EFC,221946,12
CAC4D8,DBAFCF,62
A69674,4DD8D4,85
A69674,CD346F,26
A69674,CC8D54,60
A69674,5CA9C9,37
A69674,7CEE8A,56
A69674,95841C,35
A69674,F8CBCC,47
0219FB,34D2CC,90
CC8E8E,4193E5,62
CC8E8E,9C000F,9
CC8E8E,F26D61,31
3E747F,6A9DA5,81
3E747F,963BFE,12
1B4910,65F7CF,79
1B4910,347F8D,5
1B4910,10B377,27
94FF58,9CD392,84
94FF58,D00A07,35
94FF58,5DEE68,57
94FF58,6D7116,16
94FF58,AE8E1D,6
94FF58,9C2D4B,40
9C26D0,487C8E,72
9C26D0,63EBF6,35
9C26D0,F1B653,12
9C26D0,0C1853,15
4263A6,863057,96
88F0BB,E8F1F9,68
88F0BB,611069,21
80B752,3596D4,71
369EFC,792B0B,94
3979BC,B0D319,92
B7DE0C,3CD369,94
92C091,221946,89
CAC4D8,DBAFCF,93
CAC4D8,A69674,44
4DD8D4,CD346F,99
4DD8D4,CC8D54,3
5CA9C9,7CEE8A,99
5CA9C9,95841C,60
F8CBCC,0219FB,87
34D2CC,CC8E8E,99
34D2CC,4193E5,23
34D2CC,9C000F,31
34D2CC,F26D61,20
34D2CC,3E747F,60
34D2CC,6A9DA5,29
963BFE,1B4910,97
963BFE,65F7CF,50
963BFE,347F8D,32
963BFE,10B377,6
963BFE,94FF58,36
