57902E,51FD23,4
F1F6BE,ED6493,76
F1F6BE,F19594,3
F1F6BE,0F6DC5,29
E9BFE0,65FDE4,77
519068,27DCF2,92
519068,8381AA,0
9B1999,879FD4,98
36822D,DAEDC7,73
36822D,566FCF,57
4B1BC9,75E48B,83
4B1BC9,15AA80,45
5FA7BC,C9DF58,91
7AFE49,060D0F,73
BA3F39,1F00EC,73
3329CB,629E78,77
044C4D,4142E4,76
044C4D,05FD86,57
1CA24C,71AAE0,80
1CA24C,B3BE46,50
1CA24C,17A24A,51
1CA24C,3F75F4,34
543D3A,320794,83
296B7B,3A7035,82
296B7B,C062A4,46
296B7B,1511DC,17
619DB9,BAD747,76
619DB9,AFE09E,36
619DB9,4323D9,26
E6A3D3,23EEFA,72
E6A3D3,55AC09,24
E6A3D3,92B9DE,31
E6A3D3,C376D8,13
E6A3D3,607584,54
E6A3D3,A090DF,54
436291,14D9CA,83
D387E3,273E44,70
D387E3,63504D,56
D387E3,53766A,44
D387E3,D2497E,21
614673,3EE60D,87
614673,AE43B9,27
981E91,07CFC4,63
653593,60D910,98
653593,C5C407,53
653593,C01F06,42
CE3449,E0AE48,71
CE3449,ABC8A1,4
CE3449,1662ED,36
9D89CF,AE0B2D,74
30F29F,2F3D9B,84
ABF64D,65E06E,68
ABF64D,AEC157,4
D4CC5C,FD81B0,65
D4CC5C,0982B0,30
D4CC5C,8C68FD,44
7C215F,82CDCA,92
BDD3D5,B54EE9,72
3BD643,08CCA6,64
3BD643,0F9227,35
3BD643,33CE10,11
3BD643,648758,54
DA276E,C254FF,88
DA276E,D0E0A2,54
1D4C4E,6E2DE4,96
1D4C4E,689653,10
D14812,2F8423,77
1B4F3A,83D3A3,71
AD93E9,C5FF73,73
AD93E9,733F91,21
AD93E9,614250,59
EA52E7,947A59,67
EA52E7,38B037,31
EA52E7,C90E95,8
E48911,D82EB8,80
E48911,001F25,40
E48911,6161FF,47
270E32,32F73A,92
631B59,D609AD,64
631B59,B040ED,18
631B59,9E721A,5
631B59,8B1D80,58
631B59,BFE786,10
631B59,40AA3E,30
5C8A23,51F299,64
5C8A23,F77858,46
BEE145,D78E96,69
BEE145,6A5AF5,48
392700,CFE5C0,91
EF6A77,BE03AB,82
EF6A77,1469F4,30
EF6A77,84EA4D,41
